HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Winner
Egypt , DR Congo,4,1,Quarter-finals,Egypt 
Nigeria , Tunisia,1,1,Quarter-finals,Draw
Cameroon , Ivory Coast,1,1,Quarter-finals,Draw
Egypt , Senegal,2,1,Semi-finals,Egypt 
Nigeria , Ivory Coast,0,1,Semi-finals, Ivory Coast
Senegal , Nigeria,0,1,Third place, Nigeria
Egypt , Ivory Coast,0,0,Final,Draw
Ghana , Guinea,2,1,Group stage,Ghana 
Namibia , Morocco,1,5,Group stage, Morocco
Guinea , Morocco,3,2,Group stage,Guinea 
Ghana , Namibia,1,0,Group stage,Ghana 
Ghana , Morocco,2,0,Group stage,Ghana 
Guinea , Namibia,1,1,Group stage,Draw
Nigeria , Ivory Coast,0,1,Group stage, Ivory Coast
Mali , Benin,1,0,Group stage,Mali 
Ivory Coast , Benin,4,1,Group stage,Ivory Coast 
Nigeria , Mali,0,0,Group stage,Draw
Nigeria , Benin,2,0,Group stage,Nigeria 
Ivory Coast , Mali,3,0,Group stage,Ivory Coast 
Egypt , Cameroon,4,2,Group stage,Egypt 
Sudan , Zambia,0,3,Group stage, Zambia
Cameroon , Zambia,5,1,Group stage,Cameroon 
Egypt , Sudan,3,0,Group stage,Egypt 
Cameroon , Sudan,3,0,Group stage,Cameroon 
Egypt , Zambia,1,1,Group stage,Draw
Tunisia , Senegal,2,2,Group stage,Draw
South Africa , Angola,1,1,Group stage,Draw
Senegal , Angola,1,3,Group stage, Angola
Tunisia , South Africa,3,1,Group stage,Tunisia 
Senegal , South Africa,1,1,Group stage,Draw
Tunisia , Angola,0,0,Group stage,Draw
Ghana , Nigeria,2,1,Quarter-finals,Ghana 
Ivory Coast , Guinea,5,0,Quarter-finals,Ivory Coast 
Egypt , Angola,2,1,Quarter-finals,Egypt 
Tunisia , Cameroon,2,3,Quarter-finals, Cameroon
Ghana , Cameroon,0,1,Semi-finals, Cameroon
Ivory Coast , Egypt,1,4,Semi-finals, Egypt
Ghana , Ivory Coast,4,2,Third place,Ghana 
Cameroon , Egypt,0,1,Final, Egypt
Angola , Mali,4,4,Group stage,Draw
Malawi , Algeria,3,0,Group stage,Malawi 
Mali , Algeria,0,1,Group stage, Algeria
Angola , Malawi,2,0,Group stage,Angola 
Angola , Algeria,0,0,Group stage,Draw
Mali , Malawi,3,1,Group stage,Mali 
Ivory Coast , Burkina Faso,0,0,Group stage,Draw
Ghana , Togo,,,Group stage,Draw
Burkina Faso , Togo,,,Group stage,Draw
Ivory Coast , Ghana,3,1,Group stage,Ivory Coast 
Burkina Faso , Ghana,0,1,Group stage, Ghana
Ivory Coast , Togo,,,Group stage,Draw
Egypt , Nigeria,3,1,Group stage,Egypt 
Mozambique , Benin,2,2,Group stage,Draw
Nigeria , Benin,1,0,Group stage,Nigeria 
Egypt , Mozambique,2,0,Group stage,Egypt 
Egypt , Benin,2,0,Group stage,Egypt 
Nigeria , Mozambique,3,0,Group stage,Nigeria 
Cameroon , Gabon,0,1,Group stage, Gabon
Zambia , Tunisia,1,1,Group stage,Draw
Gabon , Tunisia,0,0,Group stage,Draw
Cameroon , Zambia,3,2,Group stage,Cameroon 
Gabon , Zambia,1,2,Group stage, Zambia
Cameroon , Tunisia,2,2,Group stage,Draw
Angola , Ghana,0,1,Quarter-finals, Ghana
Ivory Coast , Algeria,2,3,Quarter-finals, Algeria
Egypt , Cameroon,3,1,Quarter-finals,Egypt 
Zambia , Nigeria,0,0,Quarter-finals,Draw
Ghana , Nigeria,1,0,Semi-finals,Ghana 
Algeria , Egypt,0,4,Semi-finals, Egypt
Nigeria , Algeria,1,0,Third place,Nigeria 
Ghana , Egypt,0,1,Final, Egypt
Zambia , Sudan,3,0,Quarter-finals,Zambia 
Ivory Coast , Equatorial Guinea,3,0,Quarter-finals,Ivory Coast 
Gabon , Mali,1,1,Quarter-finals,Draw
Ghana , Tunisia,2,1,Quarter-finals,Ghana 
Zambia , Ghana,1,0,Semi-finals,Zambia 
Mali , Ivory Coast,0,1,Semi-finals, Ivory Coast
Ghana , Mali,0,2,Third place, Mali
Zambia , Ivory Coast,0,0,Final,Draw
Ghana , Cape Verde,2,0,Quarter-finals,Ghana 
South Africa , Mali,1,1,Quarter-finals,Draw
Ivory Coast , Nigeria,1,2,Quarter-finals, Nigeria
