HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Winner
Nigeria , Guinea,1,0,Group B,
Madagascar , Burundi,1,0,Group B,
Madagascar , Nigeria,2,0,Group B,
Burundi , Guinea,0,2,Group B,
Senegal , Tanzania,2,0,Group C,
Algeria , Kenya,2,0,Group C,
Senegal , Algeria,0,1,Group C,
Kenya , Tanzania,3,2,Group C,
Kenya , Senegal,0,3,Group C,
Tanzania , Algeria,0,3,Group C,
Morocco , Namibia,1,0,Group D,
Ivory Coast , South Africa,1,0,Group D,
Morocco , Ivory Coast,1,0,Group D,
South Africa , Namibia,1,0,Group D,
South Africa , Morocco,0,1,Group D,
Namibia , Ivory Coast,1,4,Group D,
Tunisia , Angola,1,1,Group E,
Mali , Mauritania,4,1,Group E,
Tunisia , Mali,1,1,Group E,
Mauritania , Angola,0,0,Group E,
Mauritania , Tunisia,0,0,Group E,
Angola , Mali,0,1,Group E,
Cameroon , Guinea-Bissau,2,0,Group F,
Ghana , Benin,2,2,Group F,
Cameroon , Ghana,0,0,Group F,
Benin , Guinea-Bissau,0,0,Group F,
Benin , Cameroon,0,0,Group F,
Guinea-Bissau , Ghana,0,2,Group F,
Morocco , Benin,1,1,Round of 16,
Uganda , Senegal,0,1,Round of 16,
Nigeria , Cameroon,3,2,Round of 16,
Egypt , South Africa,0,1,Round of 16,
Madagascar , DR Congo,2,2,Round of 16,
Algeria , Guinea,3,0,Round of 16,
Mali , Ivory Coast,0,1,Round of 16,
Ghana , Tunisia,1,1,Round of 16,
Senegal , Benin,1,0,Quarter-finals,
Nigeria , South Africa,2,1,Quarter-finals,
Ivory Coast , Algeria,1,1,Quarter-finals,
Madagascar , Tunisia,0,3,Quarter-finals,
Senegal , Tunisia,1,0,Semi-finals,
Algeria , Nigeria,2,1,Semi-finals,
Tunisia , Nigeria,0,1,Third place play-off,
Senegal , Algeria,0,1,Final,
Cameroon , Burkina Faso,2,1,Group A,
Ethiopia , Cape Verde,0,1,Group A,
Cameroon , Ethiopia,4,1,Group A,
Cape Verde , Burkina Faso,0,1,Group A,
Cape Verde , Cameroon,1,1,Group A,
Burkina Faso , Ethiopia,1,1,Group A,
Senegal , Zimbabwe,1,0,Group B,
Guinea , Malawi,1,0,Group B,
Senegal , Guinea,0,0,Group B,
Malawi , Zimbabwe,2,1,Group B,
Malawi , Senegal,0,0,Group B,
Zimbabwe , Guinea,2,1,Group B,
Morocco , Ghana,1,0,Group C,
Comoros , Gabon,0,1,Group C,
Morocco , Comoros,2,0,Group C,
Gabon , Ghana,1,1,Group C,
Gabon , Morocco,2,2,Group C,
Ghana , Comoros,2,3,Group C,
Nigeria , Egypt,1,0,Group D,
Sudan , Guinea-Bissau,0,0,Group D,
Nigeria , Sudan,3,1,Group D,
Guinea-Bissau , Egypt,0,1,Group D,
Guinea-Bissau , Nigeria,0,2,Group D,
Egypt , Sudan,1,0,Group D,
Algeria , Sierra Leone,0,0,Group E,
Equatorial Guinea , Ivory Coast,0,1,Group E,
Ivory Coast , Sierra Leone,2,2,Group E,
Algeria , Equatorial Guinea,0,1,Group E,
Ivory Coast , Algeria,3,1,Group E,
Sierra Leone , Equatorial Guinea,0,1,Group E,
Tunisia , Mali,0,1,Group F,
Mauritania , Gambia,0,1,Group F,
Gambia , Mali,1,1,Group F,
Tunisia , Mauritania,4,0,Group F,
Gambia , Tunisia,1,0,Group F,
Mali , Mauritania,2,0,Group F,
